AVOCA DELL,AVOCA DELL SA 5253
BRINKLEY,BRINKLEY SA 5253
BURDETT,BURDETT SA 5253
CALLINGTON,CALLINGTON SA 5254
CALOOTE,CALOOTE SA 5254
CHAPMAN BORE,CHAPMAN BORE SA 5253
EAST WELLINGTON,EAST WELLINGTON SA 5259
ETTRICK,ETTRICK SA 5253
GIFFORD HILL,GIFFORD HILL SA 5253
GREENBANKS,GREENBANKS SA 5253
JERVOIS,JERVOIS SA 5259
KEPA,KEPA SA 5259
LAKE ALEXANDRINA,LAKE ALEXANDRINA SA 5259
LONG FLAT,LONG FLAT SA 5253
MOBILONG,MOBILONG SA 5253
MONARTO,MONARTO SA 5254
MONARTO SOUTH,MONARTO SOUTH SA 5254
MONTEITH,MONTEITH SA 5254
MULGUNDAWA,MULGUNDAWA SA 5255
MURRAWONG,MURRAWONG SA 5253
MURRAY BRIDGE,MURRAY BRIDGE SA 5253
MURRAY BRIDGE EAST,MURRAY BRIDGE EAST SA 5253
MURRAY BRIDGE NORTH,MURRAY BRIDGE NORTH SA 5253
MURRAY BRIDGE SOUTH,MURRAY BRIDGE SOUTH SA 5253
MYPOLONGA,MYPOLONGA SA 5254
NALPA,NALPA SA 5255
NATURI,NATURI SA 5259
NORTHERN HEIGHTS,NORTHERN HEIGHTS SA 5253
PALLAMANA,PALLAMANA SA 5254
RIVERGLADES,RIVERGLADES SA 5253
RIVERGLEN,RIVERGLEN SA 5253
ROCKLEIGH,ROCKLEIGH SA 5254
ROCKY GULLY,ROCKY GULLY SA 5253
SUNNYSIDE,SUNNYSIDE SA 5253
SWANPORT,SWANPORT SA 5253
TEPKO,TEPKO SA 5254
TOLDEROL,TOLDEROL SA 5256
TOORA,TOORA SA 5253
WALL FLAT,WALL FLAT SA 5254
WELLINGTON,WELLINGTON SA 5259
WHITE HILL,WHITE HILL SA 5254
WHITE SANDS,WHITE SANDS SA 5253
WILLOW BANKS,WILLOW BANKS SA 5253
WOODLANE,WOODLANE SA 5238
WOODS POINT,WOODS POINT SA 5253
